Site	Site (PSMSL Name)	PSMSL ID	NOAA Station ID	lambda	u	shape	5	95	scale	5	95	AEP1.0	5	95	AEP0.1	5	95	AEP0.01	5	95	AEP0.001	5	95	AEP 1.0 expected	AEP0.1 expected	AEP0.01 expected	AEP0.001 expected	Vshape	Vscale	Vscaleshape
Solomons Island, MD	SOLOMON'S ISLAND (BIOL. LAB.)	412	8577330	2.5999	0.3989	0.1082	-0.0968	0.3131	0.0787	0.0577	0.0998	0.4782	0.4608	0.4944	0.7033	0.6400	0.7931	0.9934	0.7879	1.3926	1.2397	0.8701	2.1462	0.4775	0.7061	1.0476	1.4507	0.01553	0.0001636	-0.001119
Washington, DC	WASHINGTON DC	360	8594900	2.2289	0.4713	0.4951	0.3194	0.6706	0.1055	0.0839	0.1271	0.5752	0.5564	0.5940	1.2440	1.0578	1.4963	3.3316	2.1441	5.5817	7.1113	3.5100	15.6666	0.5745	1.2487	3.5210	NaN	0.0114	0.0001721	-0.00078
Kiptopeke, VA	KIPTOPEKE BEACH	636	8632200	2.3714	0.4675	0.0321	-0.1861	0.2503	0.1363	0.0977	0.1749	0.5860	0.5591	0.6126	0.9163	0.8250	1.0429	1.2746	1.0078	1.7812	1.5403	1.0950	2.6274	0.5856	0.9204	1.3468	1.8076	0.01766	0.0005514	-0.002352
Lewisetta, VA	PINEY POINT	971	8635750	2.5714	0.4098	0.2120	0.0214	0.4022	0.0721	0.0537	0.0905	0.4850	0.4690	0.5018	0.7404	0.6600	0.8576	1.1661	0.8753	1.7167	1.6050	1.0305	3.0124	0.4846	0.7474	1.2358	1.8928	0.01344	0.0001249	-0.0007629
Sewells Point, VA	SEWELLS POINT, HAMPTON ROADS	299	8638610	2.3536	0.5165	0.0723	-0.0490	0.1935	0.1713	0.1424	0.2003	0.6675	0.6468	0.6888	1.1236	1.0337	1.2220	1.6635	1.3890	2.0533	2.0942	1.6141	2.8704	0.6671	1.1243	1.6947	2.2267	0.005435	0.0003106	-0.000862
Chesapeake Bay Bridge Tunnel, VA	CHESAPEAKE BAY BR. TUN.	1635	8638863	2.3589	0.5350	0.0369	-0.1714	0.2451	0.1575	0.1151	0.2000	0.6725	0.6412	0.7002	1.0598	0.9487	1.1972	1.4856	1.1743	2.0406	1.8042	1.2829	2.9988	0.6709	1.0618	1.5583	2.0891	0.01602	0.0006668	-0.002458
Beaufort, NC	MOREHEAD CITY	719	8656483	2.4000	0.3810	0.2164	-0.0416	0.4747	0.0731	0.0503	0.0960	0.4513	0.4332	0.4671	0.7108	0.6232	0.8385	1.1438	0.8027	1.9438	1.5975	0.9052	3.7638	0.4506	0.7140	1.2403	2.0420	0.02464	0.0001925	-0.001573
Wilmington, NC	WILMINGTON	396	8658120	2.1818	0.3164	0.1690	0.0291	0.3086	0.0693	0.0563	0.0823	0.3741	0.3650	0.3831	0.5954	0.5466	0.6550	0.9218	0.7433	1.1906	1.2423	0.8953	1.8814	0.3740	0.5968	0.9477	1.3437	0.007226	6.252e-05	-0.0004194
Springmaid Pier, SC	SPRINGMAID PIER	1444	8661070	1.9210	0.5454	0.2723	0.0502	0.4947	0.0594	0.0422	0.0766	0.5877	0.5761	0.5986	0.8130	0.7393	0.9161	1.2343	0.9325	1.8415	1.7424	1.0765	3.4781	0.5873	0.8148	1.3025	2.0519	0.01826	0.0001091	-0.0008026
Charleston, SC	CHARLESTON I	234	8665530	2.3334	0.4686	0.2317	0.1025	0.3610	0.0655	0.0544	0.0766	0.5298	0.5210	0.5387	0.7710	0.7197	0.8326	1.1856	0.9739	1.4965	1.6381	1.1921	2.3951	0.5298	0.7725	1.2096	1.7489	0.00619	4.525e-05	-0.0003192
Fort Pulaski, GA	FORT PULASKI	395	8670870	2.2405	0.5177	0.0692	-0.0439	0.1824	0.0698	0.0581	0.0815	0.5756	0.5671	0.5838	0.7593	0.7228	0.8003	0.9775	0.8696	1.1158	1.1506	0.9615	1.4345	0.5754	0.7601	0.9880	1.1965	0.004727	5.04e-05	-0.0003007
Fernandina Beach, FL	FERNANDINA BEACH	112	8720030	1.8291	0.4487	-0.0627	-0.1568	0.0315	0.1092	0.0932	0.1252	0.5135	0.5052	0.5216	0.7383	0.7073	0.7698	0.9326	0.8616	1.0222	1.0511	0.9428	1.2159	0.5133	0.7389	0.9400	1.0792	0.003269	9.451e-05	-0.000387
Vaca Key, FL	VACA KEY	1701	8723970	2.0000	0.2583	0.3514	0.1354	0.5676	0.0346	0.0248	0.0444	0.2854	0.2782	0.2923	0.4377	0.3869	0.5161	0.7778	0.5492	1.3129	1.2549	0.6989	2.9118	0.2854	0.4423	0.8434	1.5379	0.01725	3.565e-05	-0.0003623
Key West, FL	KEY WEST	188	8724580	1.7228	0.2670	0.2345	0.0820	0.3868	0.0392	0.0316	0.0468	0.2897	0.2858	0.2936	0.4249	0.3983	0.4578	0.6585	0.5427	0.8379	0.9084	0.6584	1.4069	0.2898	0.4254	0.6717	0.9843	0.008581	2.151e-05	-0.000271
Naples, FL	NAPLES	1107	8725110	2.4285	0.3266	0.0473	-0.1514	0.2463	0.1059	0.0776	0.1341	0.4225	0.4018	0.4419	0.6870	0.6122	0.7825	0.9903	0.7656	1.3283	1.2214	0.8439	1.9973	0.4218	0.6909	1.0367	1.4000	0.0146	0.0002953	-0.001484
St. Petersburg, FL	ST. PETERSBURG	520	8726520	2.8382	0.3295	0.2850	0.1284	0.4416	0.0839	0.0677	0.1001	0.4313	0.4158	0.4472	0.7949	0.7063	0.9189	1.4921	1.0898	2.2537	2.3453	1.4346	4.3418	0.4310	0.7992	1.5700	2.6615	0.009076	9.741e-05	-0.0006023
