Station Name,Country,ID,Lat.,Lon.,Coastline
ST. GEORGES / ESSO PIER (BERMUDA),BMU,368,32.373,-64.703,950
IMBITUBA,BRA,542,-28.233,-48.65,874
CANANEIA,BRA,726,-25.017,-47.933,874
RIO DE JANEIRO,BRA,579,-22.933,-43.133,874
ILHA FISCAL,BRA,1032,-22.897,-43.167,874
CANAVIEIRAS,BRA,699,-15.667,-38.967,874
SALVADOR,BRA,578,-12.967,-38.517,874
RECIFE,BRA,556,-8.05,-34.867,874
FORTALEZA,BRA,559,-3.717,-38.483,874
SALINOPOLIS,BRA,589,-0.65,-47.383,874
BELEM,BRA,580,-1.45,-48.5,874
SANTANA,BRA,1975,-0.05,-51.167,874
DIEGO GARCIA-C,IOT,1740,-7.283,72.4,453
DIEGO GARCIA D,IOT,2190,-7.29,72.393,453
BOURGAS,BGR,317,42.483,27.483,295
VARNA,BGR,318,43.183,27.917,295
PRINCE RUPERT,CAN,167,54.317,-130.333,822
LANGARA POINT,CAN,840,54.25,-133.033,822
QUEEN CHARLOTTE CITY,CAN,829,53.25,-132.067,822
BELLA COOLA,CAN,1084,52.367,-126.783,822
BELLA BELLA,CAN,984,52.167,-128.133,822
PORT HARDY,CAN,1071,50.717,-127.483,822
ALERT BAY,CAN,554,50.583,-126.95,822
CAMPBELL RIVER,CAN,1323,50.017,-125.233,822
COMOX,CAN,630,49.667,-124.917,822
NANOOSE BAY,CAN,1825,49.267,-124.133,822
POINT ATKINSON,CAN,193,49.333,-123.25,822
VANCOUVER,CAN,175,49.283,-123.117,822
NEW WESTMINSTER,CAN,1245,49.2,-122.917,822
STEVESTON,CAN,1255,49.117,-123.183,822
TSAWWASSEN,CAN,1341,49,-123.133,822
FULFORD HARBOUR,CAN,688,48.767,-123.45,822
PATRICIA BAY,CAN,1152,48.65,-123.45,822
VICTORIA,CAN,166,48.417,-123.367,822
SOOKE,CAN,921,48.367,-123.733,822
PORT RENFREW,CAN,842,48.55,-124.417,822
BAMFIELD,CAN,1242,48.85,-125.133,822
PORT ALBERNI,CAN,527,49.233,-124.817,822
TOFINO,CAN,165,49.15,-125.917,822
WINTER HARBOUR,CAN,1799,50.517,-128.033,822
"SAINT JOHN, N.B.",CAN,195,45.267,-66.067,970
DIGBY,CAN,1230,44.633,-65.75,970
YARMOUTH,CAN,1158,43.833,-66.133,970
BOUTILIER POINT,CAN,1259,44.667,-63.967,970
HALIFAX,CAN,96,44.667,-63.583,970
POINT TUPPER,CAN,1332,45.6,-61.367,970
NORTH SYDNEY,CAN,1299,46.217,-60.25,970
PICTOU,CAN,1121,45.683,-62.7,970
CAP AUX MEULES,CAN,2031,47.379,-61.857,970
CHARLOTTETOWN,CAN,427,46.233,-63.117,970
RUSTICO,CAN,1330,46.467,-63.283,970
GRINDSTONE,CAN,1143,47.383,-61.867,970
SHEDIAC BAY,CAN,1326,46.25,-64.533,970
POINTE-DU-CHENE,CAN,1309,46.25,-64.533,970
POINT SAPIN,CAN,1138,46.967,-64.833,970
LOWER ESCUMINAC,CAN,1349,47.083,-64.883,970
BELLEDUNE,CAN,2069,47.9,-65.85,970
DALHOUSIE,CAN,1358,48.067,-66.383,970
RIVIERE-AU-RENARD,CAN,1213,49,-64.383,970
STE-ANNE-DES-MONTS,CAN,1199,49.133,-66.483,970
POINTE-AU-PERE,CAN,138,48.517,-68.467,970
RIMOUSKI,CAN,1597,48.483,-68.517,970
RIVIERE-DU-LOUP,CAN,1284,47.85,-69.567,970
ST-JEAN-PORT-JOLI,CAN,1223,47.217,-70.283,970
ST-FRANCOIS,CAN,999,47,-70.817,970
QUEBEC (LAUZON),CAN,173,46.833,-71.167,970
DESCHAILLONS,CAN,201,46.567,-72.1,970
PORT-SAINT-FRANCOIS,CAN,137,46.267,-72.617,970
BECANCOUR,CAN,1798,46.4,-72.383,970
TROIS-RIVIERES,CAN,126,46.333,-72.55,970
CHAMPLAIN,CAN,1005,46.433,-72.4,970
BATISCAN,CAN,144,46.5,-72.25,970
GRONDINES,CAN,387,46.583,-72.033,970
PORTNEUF,CAN,951,46.683,-71.883,970
NEUVILLE,CAN,192,46.7,-71.567,970
ST-JOSEPH-DE-LA-RIVE,CAN,1244,47.45,-70.367,970
PORT-ALFRED,CAN,1392,48.333,-70.867,970
TADOUSSAC,CAN,1219,48.133,-69.717,970
BAIE COMEAU,CAN,1218,49.233,-68.133,970
SEPT-ILES,CAN,1322,50.2,-66.4,970
HARRINGTON HBR,CAN,176,50.5,-59.483,970
SAVAGE COVE,CAN,1280,51.333,-56.7,970
LARK HARBOUR,CAN,1044,49.1,-58.367,970
PORT AUX BASQUES,CAN,392,47.567,-59.133,970
BONAVISTA,CAN,2135,49.083,-53.2,970
ARGENTIA,CAN,1321,47.3,-53.983,970
"ST. JOHN'S, NFLD.",CAN,393,47.567,-52.717,970
WEST ST. MODESTE,CAN,1278,51.6,-56.7,970
NAIN,CAN,1029,56.55,-61.7,970
QIKIQTARJUAQ,CAN,1935,67.867,-64.117,970
CHURCHILL,CAN,447,58.767,-94.183,970
RESOLUTE,CAN,863,74.683,-94.883,970
LITTLE CORNWALLIS ISLAND,CAN,1822,75.383,-96.95,970
ALERT,CAN,1110,82.49,-62.32,970
CAMBRIDGE BAY,CAN,1132,69.117,-105.067,970
ULUKHAKTOK ( FORMALLY HOLMAN ),CAN,1930,71.233,-118.267,970
CAPE PARRY,CAN,1282,70.15,-124.667,970
TUKTOYAKTUK,CAN,1000,69.417,-132.967,970
PORTO GRANDE (ST. VINCENT) 2,CPV,1769,16.883,-25,380
NORTH SOUND,CYM,1422,19.3,-81.317,931
SOUTH SOUND,CYM,1426,19.267,-81.383,931
EASTER ISLAND-D,CHL,1462,-27.15,-109.45,810
EASTER ISLAND-E,CHL,1272,-27.155,-109.473,810
ARICA,CHL,618,-18.467,-70.333,850
IQUIQUE,CHL,1963,-20.217,-70.167,850
ANTOFAGASTA,CHL,511,-23.65,-70.417,850
ANTOFAGASTA 2,CHL,510,-23.653,-70.404,850
SAN FELIX,CHL,1751,-26.292,-80.109,850
CALDERA,CHL,619,-27.067,-70.833,850
VALPARAISO,CHL,499,-33.027,-71.626,850
JUAN FERNANDEZ-C,CHL,1644,-33.636,-78.83,850
TALCAHUANO,CHL,571,-36.683,-73.1,850
CORRAL,CHL,1057,-39.867,-73.433,850
PUNTA ARENAS,CHL,473,-53.167,-70.9,850
CALETA PERCY,CHL,994,-52.9,-70.267,850
PUERTO WILLIAMS,CHL,1122,-54.917,-67.617,850
DIEGO RAMIREZ,CHL,1785,-56.5,-68.717,850
BEIHAI,CHN,1408,21.483,109.083,610
ZHAPO,CHN,933,21.583,111.817,610
NAN SHA,CHN,1730,9.55,112.88,610
